attempted_iteration,successful_optimizer_steps,processed_kimg,loss,grad_scale,step_skipped,schedule,stage,next_loop_cur_tick,loss_ema,loss_reference,correction,signal_updates,adaptive_active,r_over_t_mean,gap_mean,seconds,peak_vram_mib
1,0,0.128000,15.97663820,65536,true,sigmoid,0,1,,,0,0,0,0.985617611763,0.0143823882369,8.334187,5918.405632
2,0,0.256000,15.02455795,32768,true,sigmoid,0,1,,,0,0,0,0.985632538854,0.0143674611461,9.644018,2138.994688
3,0,0.384000,16.38218355,16384,true,sigmoid,0,1,,,0,0,0,0.985938287727,0.0140617122734,10.412714,2138.994688
4,0,0.512000,17.54660499,8192,true,sigmoid,0,1,,,0,0,0,0.985108195351,0.0148918046487,11.191350,2138.994688
5,0,0.640000,15.65527940,4096,true,sigmoid,0,1,,,0,0,0,0.986100688498,0.0138993115016,11.932901,2138.994688
6,0,0.768000,16.49589241,2048,true,sigmoid,0,1,,,0,0,0,0.985309774022,0.0146902259784,12.675190,2138.994688
7,0,0.896000,17.07062507,1024,true,sigmoid,0,1,,,0,0,0,0.985069129914,0.0149308700857,13.423246,2138.994688
8,0,1.024000,17.72678792,512,true,sigmoid,0,1,,,0,0,0,0.984782394382,0.0152176056182,14.159600,2138.994688
9,1,1.152000,15.91043890,256,false,sigmoid,0,1,,,0,0,0,0.985625582903,0.0143744170974,14.977670,2138.994688
10,2,1.280000,16.55839896,256,false,sigmoid,0,1,,,0,0,0,0.985928909818,0.0140710901825,15.755970,2563.328000
11,2,1.408000,30.67288423,256,true,sigmoid,0,1,,,0,0,0,0.985685323783,0.0143146762174,16.492511,2563.328000
12,3,1.536000,27.70777225,128,false,sigmoid,0,1,,,0,0,0,0.986457861945,0.0135421380545,17.237155,2563.328000
13,4,1.664000,31.34669256,128,false,sigmoid,0,1,,,0,0,0,0.985574938739,0.0144250612608,17.983306,2563.328000
14,5,1.792000,33.55546212,128,false,sigmoid,0,1,,,0,0,0,0.985060260493,0.0149397395069,18.729944,2563.328000
15,6,1.920000,34.41056466,128,false,sigmoid,0,1,,,0,0,0,0.984829846503,0.0151701534967,19.475114,2563.328000
16,7,2.048000,37.55382586,128,false,sigmoid,0,1,,,0,0,0,0.984193810153,0.0158061898466,20.231582,2563.328000
17,8,2.176000,30.00784945,128,false,sigmoid,0,1,,,0,0,0,0.985895132709,0.014104867291,20.984529,2563.328000
18,9,2.304000,29.36676836,128,false,sigmoid,0,1,,,0,0,0,0.98598470338,0.01401529662,21.740454,2563.328000
19,10,2.432000,32.91758680,128,false,sigmoid,0,1,,,0,0,0,0.985054276053,0.0149457239475,22.612055,2563.328000
20,11,2.560000,32.02829027,128,false,sigmoid,0,1,,,0,0,0,0.985384436708,0.0146155632923,23.366745,2563.328000
21,12,2.688000,31.16093516,128,false,sigmoid,0,1,,,0,0,0,0.985909523964,0.0140904760363,24.115451,2563.328000
22,13,2.816000,35.46103930,128,false,sigmoid,0,1,,,0,0,0,0.984703791637,0.0152962083634,24.866469,2563.328000
23,14,2.944000,33.46657801,128,false,sigmoid,0,1,,,0,0,0,0.985037795322,0.0149622046782,25.617972,2563.328000
24,15,3.072000,31.85044980,128,false,sigmoid,0,1,,,0,0,0,0.985349144328,0.0146508556715,26.364851,2563.328000
25,16,3.200000,29.87372613,128,false,sigmoid,0,1,,,0,0,0,0.985410481213,0.0145895187873,27.112356,2563.328000
26,17,3.328000,29.73380280,128,false,sigmoid,0,1,,,0,0,0,0.986044559817,0.0139554401833,27.859187,2563.328000
27,18,3.456000,31.94801784,128,false,sigmoid,0,1,,,0,0,0,0.985380117683,0.0146198823174,28.593975,2563.328000
28,19,3.584000,34.12442446,128,false,sigmoid,0,1,,,0,0,0,0.984702384635,0.0152976153647,29.332540,2563.328000
29,20,3.712000,29.79930210,128,false,sigmoid,0,1,,,0,0,0,0.986099549801,0.0139004501993,30.083103,2563.328000
30,21,3.840000,32.12221956,128,false,sigmoid,0,1,,,0,0,0,0.985221323739,0.0147786762608,30.817248,2563.328000
31,22,3.968000,29.92539644,128,false,sigmoid,0,1,,,0,0,0,0.985785769022,0.0142142309783,31.552801,2563.328000
32,23,4.096000,31.50242257,128,false,sigmoid,0,2,,,0,0,0,0.985542401604,0.0144575983958,32.298395,2563.328000
